order,combo,o_info
3,"('draw_sum', 'n1_delta2', 'n4_mod5')",-0.09820452595055862
3,"('draw_range_roll_std', 'draw_sum', 'n1_mod7')",-0.09798927825196024
3,"('draw_std', 'draw_sum', 'n5_mod5')",-0.0977920352883892
3,"('draw_sum', 'draw_sum_roll_std', 'n4_mod7')",-0.09773743203225038
3,"('draw_sum', 'n3_delta', 'n4_mod7')",-0.09754049352608618
3,"('draw_std', 'draw_sum', 'n2_mod5')",-0.09753889691848805
3,"('draw_range', 'draw_sum', 'n2_n5_sum')",-0.09753786081937221
3,"('draw_sum', 'n3_mod5', 'n4_delta2')",-0.09752493644915994
3,"('draw_sum', 'n3_delta2', 'n5_delta2')",-0.0969214549400057
3,"('draw_sum', 'n2_mod5', 'n5_mod7')",-0.09657483215683982
3,"('draw_sum', 'n3_mod5', 'n5_delta2')",-0.09639219078105477
3,"('draw_std_roll_std', 'draw_sum', 'n1_delta2')",-0.09579785379875005
3,"('draw_sum', 'n2_delta2', 'n2_mod5')",-0.0957346908109713
3,"('draw_sum', 'n2_delta2', 'n4_mod5')",-0.09552964197107272
3,"('draw_sum', 'n1_delta', 'n2_mod7')",-0.09551185080716351
3,"('draw_std', 'draw_sum', 'n1_mod5')",-0.09545163541126378
3,"('draw_sum', 'n1_delta', 'n4_mod7')",-0.09529289846648759
3,"('draw_sum', 'n1_mod5', 'n2_delta2')",-0.09525579373296544
3,"('draw_sum', 'draw_sum_roll_std', 'n3_mod7')",-0.09513077066175946
3,"('draw_sum', 'draw_sum_roll_std', 'n4_delta2')",-0.09505631919869195
3,"('draw_sum', 'n2_delta', 'n5_mod7')",-0.09498143904209044
3,"('draw_sum', 'draw_sum_roll_std', 'n2_delta')",-0.09487954631425133
3,"('draw_sum', 'n4_mod7', 'n5_mod5')",-0.09466335464601272
3,"('draw_sum', 'n1_mod5', 'n3_delta2')",-0.09452467464089942
3,"('draw_sum', 'n1_delta', 'n5_delta2')",-0.09405165102041124
3,"('draw_sum', 'draw_sum_roll_mean', 'n1_mod5')",-0.09369536671910694
3,"('draw_sum', 'draw_sum_roll_std', 'n3_delta')",-0.09333929314305323
3,"('draw_sum', 'n4_mod5', 'n5_delta2')",-0.09274563143547354
3,"('draw_sum', 'n3_delta2', 'n4_mod5')",-0.09203805640983731
3,"('draw_sum', 'draw_sum_roll_mean', 'n3_mod5')",-0.09168449093017017
3,"('draw_sum', 'n1_delta', 'n5_mod7')",-0.09152608284162156
3,"('draw_sum', 'n1_delta2', 'n5_mod5')",-0.09129186719194493
3,"('draw_sum', 'n2_mod5', 'n4_mod7')",-0.09106673030039403
3,"('draw_range', 'draw_sum', 'n1_mod5')",-0.09100442396592712
3,"('draw_sum', 'n1_delta2', 'n2_mod5')",-0.09078910196160983
3,"('draw_sum', 'n4_delta', 'n4_mod5')",-0.09075917011717394
3,"('draw_sum', 'n2_delta', 'n2_mod5')",-0.09075213830226048
3,"('draw_sum', 'draw_sum_roll_std', 'n4_delta')",-0.09075015606089032
3,"('draw_sum', 'n2_delta', 'n4_mod5')",-0.09073083138769711
3,"('draw_sum', 'n2_delta2', 'n5_mod5')",-0.09039061158762962
3,"('draw_sum', 'n4_mod5', 'n5_mod7')",-0.08968574139113095
3,"('draw_sum', 'n3_mod5', 'n4_mod7')",-0.08954757105960809
3,"('draw_sum', 'n3_mod5', 'n5_mod7')",-0.088915855626718
3,"('draw_sum', 'n1_mod7', 'n2_mod5')",-0.0882801033982119
3,"('draw_sum', 'n2_mod7', 'n4_mod5')",-0.087967595227882
3,"('draw_sum', 'n2_delta2', 'n5_delta')",-0.0876913529687311
3,"('draw_sum', 'n4_mod5', 'n5_delta')",-0.08720578577739602
3,"('draw_sum', 'n2_delta2', 'n4_delta2')",-0.08708454843469937
3,"('draw_sum', 'n1_mod5', 'n2_mod7')",-0.08694237965632468
3,"('draw_std', 'draw_sum', 'n5_delta')",-0.08649562358886342
3,"('draw_sum', 'n4_delta2', 'n5_mod5')",-0.08647708637640861
3,"('draw_sum', 'n2_mod3', 'n2_mod7')",-0.08621175263839831
3,"('draw_std_roll_std', 'draw_sum', 'n2_delta')",-0.08620007661642681
3,"('draw_sum', 'n1_mod5', 'n5_delta2')",-0.08613701509821148
3,"('draw_sum', 'n1_mod5', 'n4_mod7')",-0.08587861395435858
3,"('draw_sum', 'n1_mod5', 'n5_mod7')",-0.0854113795923972
3,"('draw_std_roll_std', 'draw_sum', 'n4_mod5')",-0.08526576596614
3,"('draw_sum', 'n5_delta2', 'n5_mod5')",-0.08486721137931497
3,"('draw_sum', 'n1_mod5', 'n4_delta')",-0.0840421053764473
3,"('draw_sum', 'n1_delta', 'n4_n5_sum')",-0.0837449240372834
3,"('draw_range', 'draw_sum', 'n5_delta')",-0.08337792413355416
3,"('draw_sum', 'n3_mod5', 'n5_delta')",-0.08326918334480027
3,"('draw_sum', 'n2_delta', 'n5_delta2')",-0.08308051339430023
3,"('draw_sum', 'n2_mod5', 'n3_delta')",-0.08297236526957263
3,"('draw_sum', 'n3_mod7', 'n5_mod5')",-0.08271592172912001
3,"('draw_sum', 'draw_sum_roll_std', 'n1_delta2')",-0.08243751408361177
3,"('draw_range_roll_std', 'draw_sum', 'n4_mod5')",-0.08242014228428829
3,"('draw_sum', 'n3_delta2', 'n5_mod5')",-0.08238144724929164
3,"('draw_sum', 'n1_delta', 'n4_mod5')",-0.08236204310472495
3,"('draw_sum', 'n1_mod7', 'n5_mod5')",-0.08234132158468732
3,"('draw_sum', 'n3_mod5', 'n4_delta')",-0.08201423036530109
3,"('draw_sum', 'n1_mod5', 'n3_mod7')",-0.08199996652918173
